sector,expectedTerritory,status,addressCount,detail
KA8 9,South Ayrshire and Kilmarnock,PASS,226,""
KA7 3,South Ayrshire and Kilmarnock,PASS,244,""
KA3 7,South Ayrshire and Kilmarnock,PASS,228,""
KA10 7,South Ayrshire and Kilmarnock,PASS,182,""
KA1 5,South Ayrshire and Kilmarnock,PASS,216,""
KA3 1,South Ayrshire and Kilmarnock,PASS,200,""
KA1 4,South Ayrshire and Kilmarnock,PASS,191,""
KA1 2,South Ayrshire and Kilmarnock,PASS,208,""
KA9 2,South Ayrshire and Kilmarnock,PASS,246,""
KA3 5,South Ayrshire and Kilmarnock,PASS,164,""
KA4 8,South Ayrshire and Kilmarnock,PASS,171,""
KA1 1,South Ayrshire and Kilmarnock,PASS,133,""
KA8 8,South Ayrshire and Kilmarnock,PASS,115,""
KA7 1,South Ayrshire and Kilmarnock,PASS,124,""
KA6 5,South Ayrshire and Kilmarnock,PASS,113,""
KA2 9,South Ayrshire and Kilmarnock,PASS,103,""
KA3 2,South Ayrshire and Kilmarnock,PASS,247,""
KA9 1,South Ayrshire and Kilmarnock,PASS,200,""
KA16 9,South Ayrshire and Kilmarnock,PASS,111,""
KA6 6,South Ayrshire and Kilmarnock,PASS,194,""
KA3 6,South Ayrshire and Kilmarnock,PASS,173,""
KA7 4,South Ayrshire and Kilmarnock,PASS,292,""
KA5 5,South Ayrshire and Kilmarnock,PASS,210,""
FK10 1,Stirling and Falkirk,PASS,182,""
FK1 4,Stirling and Falkirk,PASS,157,""
FK3 0,Stirling and Falkirk,PASS,103,""
FK6 6,Stirling and Falkirk,PASS,169,""
FK2 7,Stirling and Falkirk,PASS,314,""
FK2 0,Stirling and Falkirk,PASS,380,""
FK8 1,Stirling and Falkirk,PASS,241,""
FK8 2,Stirling and Falkirk,PASS,151,""
FK2 8,Stirling and Falkirk,PASS,252,""
FK5 4,Stirling and Falkirk,PASS,338,""
FK7 9,Stirling and Falkirk,PASS,190,""
FK9 5,Stirling and Falkirk,PASS,177,""
FK7 8,Stirling and Falkirk,PASS,197,""
FK2 9,Stirling and Falkirk,PASS,288,""
FK1 1,Stirling and Falkirk,PASS,174,""
FK7 0,Stirling and Falkirk,PASS,165,""
FK11 7,Stirling and Falkirk,PASS,75,""
FK3 9,Stirling and Falkirk,PASS,133,""
FK1 5,Stirling and Falkirk,PASS,229,""
FK5 3,Stirling and Falkirk,PASS,122,""
FK3 8,Stirling and Falkirk,PASS,221,""
FK10 2,Stirling and Falkirk,PASS,266,""
FK16 6,Stirling and Falkirk,PASS,74,""
FK7 7,Stirling and Falkirk,PASS,269,""
FK9 4,Stirling and Falkirk,PASS,232,""
FK15 0,Stirling and Falkirk,PASS,164,""
FK15 9,Stirling and Falkirk,PASS,190,""
KY4 8,West Fife and Kinross,PASS,161,""
KY1 1,West Fife and Kinross,PASS,221,""
FK14 7,West Fife and Kinross,PASS,172,""
KY4 0,West Fife and Kinross,PASS,150,""
KY3 0,West Fife and Kinross,PASS,167,""
KY12 9,West Fife and Kinross,PASS,324,""
KY13 9,West Fife and Kinross,PASS,129,""
KY12 8,West Fife and Kinross,PASS,307,""
KY13 0,West Fife and Kinross,PASS,112,""
KY12 0,West Fife and Kinross,PASS,274,""
KY2 5,West Fife and Kinross,PASS,278,""
FK10 3,West Fife and Kinross,PASS,222,""
KY11 7,West Fife and Kinross,PASS,19,""
KY4 9,West Fife and Kinross,PASS,202,""
KY11 4,West Fife and Kinross,PASS,272,""
KY11 1,West Fife and Kinross,FAIL,170,"Centroid falls outside ALL territory polygons (likely clipped by coverage mask)"
KY11 3,West Fife and Kinross,PASS,116,""
KY11 2,West Fife and Kinross,PASS,279,""
KY3 9,West Fife and Kinross,PASS,183,""
KY5 9,West Fife and Kinross,PASS,170,""
FK12 5,West Fife and Kinross,PASS,151,""
FK13 6,West Fife and Kinross,PASS,186,""
KY5 0,West Fife and Kinross,PASS,187,""
KY5 8,West Fife and Kinross,PASS,140,""
KY12 7,West Fife and Kinross,PASS,215,""
KY11 9,West Fife and Kinross,PASS,188,""
KY13 8,West Fife and Kinross,PASS,163,""
FK10 4,West Fife and Kinross,PASS,190,""
KY11 8,West Fife and Kinross,PASS,347,""
DD5 4,Dundee and South Angus,PASS,258,""
DD2 3,Dundee and South Angus,PASS,241,""
DD2 4,Dundee and South Angus,PASS,255,""
DD3 9,Dundee and South Angus,PASS,235,""
DD1 5,Dundee and South Angus,PASS,127,""
DD3 8,Dundee and South Angus,PASS,210,""
DD11 1,Dundee and South Angus,PASS,217,""
DD4 8,Dundee and South Angus,PASS,266,""
DD1 4,Dundee and South Angus,PASS,116,""
DD1 2,Dundee and South Angus,PASS,87,""
DD1 1,Dundee and South Angus,PASS,114,""
DD5 1,Dundee and South Angus,PASS,174,""
DD3 7,Dundee and South Angus,PASS,200,""
DD4 6,Dundee and South Angus,PASS,189,""
DD3 6,Dundee and South Angus,PASS,238,""
DD4 9,Dundee and South Angus,PASS,247,""
DD2 2,Dundee and South Angus,PASS,225,""
DD2 1,Dundee and South Angus,PASS,271,""
DD8 1,Dundee and South Angus,PASS,265,""
DD4 0,Dundee and South Angus,PASS,192,""
DD4 7,Dundee and South Angus,PASS,261,""
DD5 2,Dundee and South Angus,PASS,226,""
DD1 3,Dundee and South Angus,PASS,83,""
DD7 7,Dundee and South Angus,PASS,234,""
DD7 6,Dundee and South Angus,PASS,143,""
DD11 5,Dundee and South Angus,PASS,182,""
DD3 0,Dundee and South Angus,PASS,233,""
DD11 4,Dundee and South Angus,PASS,220,""
DD8 2,Dundee and South Angus,PASS,282,""
DD11 3,Dundee and South Angus,PASS,146,""
DD11 2,Dundee and South Angus,PASS,169,""
DD5 3,Dundee and South Angus,PASS,321,""
KY6 2,East Fife,PASS,177,""
KY7 4,East Fife,PASS,214,""
KY1 2,East Fife,PASS,255,""
KY1 3,East Fife,PASS,148,""
KY6 3,East Fife,PASS,177,""
KY8 4,East Fife,PASS,233,""
KY8 2,East Fife,PASS,115,""
KY7 5,East Fife,PASS,159,""
KY8 1,East Fife,PASS,118,""
KY2 6,East Fife,PASS,343,""
KY6 1,East Fife,PASS,113,""
KY8 3,East Fife,PASS,161,""
KY8 6,East Fife,PASS,94,""
KY1 4,East Fife,PASS,182,""
KY10 2,East Fife,PASS,151,""
KY8 5,East Fife,PASS,266,""
KY10 3,East Fife,PASS,235,""
KY16 9,East Fife,PASS,273,""
KY9 1,East Fife,PASS,120,""
KY7 6,East Fife,PASS,357,""
KY15 7,East Fife,PASS,265,""
KY15 5,East Fife,PASS,279,""
KY16 8,East Fife,PASS,281,""
EH9 3,Edinburgh,PASS,110,""
EH6 8,Edinburgh,PASS,206,""
EH5 3,Edinburgh,PASS,206,""
EH6 4,Edinburgh,PASS,240,""
EH15 2,Edinburgh,PASS,196,""
EH3 6,Edinburgh,PASS,172,""
EH6 7,Edinburgh,PASS,182,""
EH10 4,Edinburgh,PASS,222,""
EH15 3,Edinburgh,PASS,204,""
EH1 3,Edinburgh,PASS,86,""
EH7 4,Edinburgh,PASS,200,""
EH8 8,Edinburgh,PASS,116,""
EH3 8,Edinburgh,PASS,90,""
EH6 5,Edinburgh,PASS,195,""
EH3 7,Edinburgh,PASS,71,""
EH2 3,Edinburgh,PASS,34,""
EH8 7,Edinburgh,PASS,232,""
EH5 1,Edinburgh,PASS,236,""
EH10 6,Edinburgh,PASS,274,""
EH8 9,Edinburgh,PASS,212,""
EH6 6,Edinburgh,PASS,192,""
EH5 2,Edinburgh,PASS,196,""
EH2 1,Edinburgh,PASS,46,""
EH2 2,Edinburgh,PASS,52,""
EH9 2,Edinburgh,PASS,172,""
EH7 5,Edinburgh,PASS,243,""
EH2 4,Edinburgh,PASS,58,""
EH1 1,Edinburgh,PASS,130,""
EH17 7,Edinburgh,PASS,217,""
EH9 1,Edinburgh,PASS,228,""
EH10 5,Edinburgh,PASS,257,""
EH16 6,Edinburgh,PASS,318,""
EH15 1,Edinburgh,PASS,220,""
EH17 8,Edinburgh,PASS,380,""
EH10 7,Edinburgh,PASS,104,""
EH16 4,Edinburgh,PASS,282,""
EH16 5,Edinburgh,PASS,274,""
EH1 2,Edinburgh,PASS,102,""
EH7 6,Edinburgh,PASS,274,""
EH3 9,Edinburgh,PASS,207,""
EH3 5,Edinburgh,PASS,167,""
EH4 7,Edinburgh West,PASS,237,""
EH14 4,Edinburgh West,PASS,19,""
EH4 8,Edinburgh West,PASS,132,""
EH11 4,Edinburgh West,PASS,192,""
EH14 3,Edinburgh West,PASS,86,""
EH14 6,Edinburgh West,PASS,16,""
EH13 0,Edinburgh West,PASS,194,""
EH4 5,Edinburgh West,PASS,204,""
EH11 2,Edinburgh West,PASS,216,""
EH4 4,Edinburgh West,PASS,245,""
EH12 5,Edinburgh West,PASS,223,""
EH4 1,Edinburgh West,PASS,180,""
EH4 6,Edinburgh West,PASS,203,""
EH12 9,Edinburgh West,PASS,136,""
EH30 9,Edinburgh West,PASS,305,""
EH14 2,Edinburgh West,PASS,219,""
EH13 9,Edinburgh West,PASS,184,""
EH12 7,Edinburgh West,PASS,269,""
EH4 2,Edinburgh West,PASS,256,""
EH11 1,Edinburgh West,PASS,263,""
EH14 5,Edinburgh West,PASS,249,""
EH14 1,Edinburgh West,PASS,257,""
EH12 6,Edinburgh West,PASS,178,""
EH12 8,Edinburgh West,PASS,310,""
EH4 3,Edinburgh West,PASS,228,""
EH11 3,Edinburgh West,PASS,277,""
EH12 0,Edinburgh West,PASS,67,""
KA12 0,Inverclyde and North Ayrshire,PASS,231,""
PA15 2,Inverclyde and North Ayrshire,PASS,149,""
KA15 2,Inverclyde and North Ayrshire,PASS,117,""
PA16 8,Inverclyde and North Ayrshire,PASS,192,""
KA11 4,Inverclyde and North Ayrshire,PASS,138,""
KA25 6,Inverclyde and North Ayrshire,PASS,113,""
PA18 6,Inverclyde and North Ayrshire,PASS,63,""
PA9 1,Inverclyde and North Ayrshire,PASS,59,""
KA20 4,Inverclyde and North Ayrshire,PASS,107,""
PA19 1,Inverclyde and North Ayrshire,PASS,283,""
KA21 6,Inverclyde and North Ayrshire,PASS,174,""
PA16 7,Inverclyde and North Ayrshire,PASS,210,""
PA12 4,Inverclyde and North Ayrshire,PASS,114,""
KA22 7,Inverclyde and North Ayrshire,PASS,158,""
KA21 5,Inverclyde and North Ayrshire,PASS,196,""
KA14 3,Inverclyde and North Ayrshire,PASS,37,""
KA11 1,Inverclyde and North Ayrshire,PASS,211,""
PA17 5,Inverclyde and North Ayrshire,PASS,72,""
PA15 4,Inverclyde and North Ayrshire,PASS,178,""
PA15 1,Inverclyde and North Ayrshire,PASS,143,""
KA12 9,Inverclyde and North Ayrshire,PASS,153,""
PA15 3,Inverclyde and North Ayrshire,PASS,82,""
PA16 0,Inverclyde and North Ayrshire,PASS,282,""
KA15 1,Inverclyde and North Ayrshire,PASS,128,""
KA22 8,Inverclyde and North Ayrshire,PASS,161,""
KA29 0,Inverclyde and North Ayrshire,PASS,66,""
KA11 5,Inverclyde and North Ayrshire,PASS,38,""
KA3 4,Inverclyde and North Ayrshire,PASS,73,""
KA12 8,Inverclyde and North Ayrshire,PASS,158,""
KA11 3,Inverclyde and North Ayrshire,PASS,37,""
KA23 9,Inverclyde and North Ayrshire,PASS,190,""
KA30 9,Inverclyde and North Ayrshire,PASS,148,""
KA25 7,Inverclyde and North Ayrshire,PASS,112,""
KA28 0,Inverclyde and North Ayrshire,PASS,72,""
KA20 3,Inverclyde and North Ayrshire,PASS,158,""
KA13 7,Inverclyde and North Ayrshire,PASS,206,""
KA11 2,Inverclyde and North Ayrshire,PASS,117,""
KA24 4,Inverclyde and North Ayrshire,PASS,119,""
KA13 6,Inverclyde and North Ayrshire,PASS,255,""
KA3 3,Inverclyde and North Ayrshire,PASS,107,""
KA30 8,Inverclyde and North Ayrshire,PASS,213,""
KA24 5,Inverclyde and North Ayrshire,PASS,106,""
PA16 9,Inverclyde and North Ayrshire,PASS,97,""
G78 2,Renfrewshire and Barrhead,PASS,231,""
PA3 1,Renfrewshire and Barrhead,PASS,103,""
PA2 9,Renfrewshire and Barrhead,PASS,175,""
PA1 3,Renfrewshire and Barrhead,PASS,179,""
PA8 7,Renfrewshire and Barrhead,PASS,118,""
PA2 6,Renfrewshire and Barrhead,PASS,228,""
G78 4,Renfrewshire and Barrhead,PASS,44,""
PA8 6,Renfrewshire and Barrhead,PASS,101,""
PA5 0,Renfrewshire and Barrhead,PASS,175,""
G78 3,Renfrewshire and Barrhead,PASS,185,""
G78 1,Renfrewshire and Barrhead,PASS,246,""
PA10 2,Renfrewshire and Barrhead,PASS,133,""
PA6 7,Renfrewshire and Barrhead,PASS,170,""
PA1 2,Renfrewshire and Barrhead,PASS,217,""
PA3 3,Renfrewshire and Barrhead,PASS,194,""
G53 7,Renfrewshire and Barrhead,PASS,336,""
PA2 7,Renfrewshire and Barrhead,PASS,209,""
PA7 5,Renfrewshire and Barrhead,PASS,260,""
PA4 9,Renfrewshire and Barrhead,PASS,112,""
PA5 9,Renfrewshire and Barrhead,PASS,181,""
PA3 2,Renfrewshire and Barrhead,PASS,151,""
PA14 6,Renfrewshire and Barrhead,PASS,191,""
PA4 8,Renfrewshire and Barrhead,PASS,270,""
PA5 8,Renfrewshire and Barrhead,PASS,237,""
PA1 1,Renfrewshire and Barrhead,PASS,211,""
PA2 8,Renfrewshire and Barrhead,PASS,223,""
PA13 4,Renfrewshire and Barrhead,PASS,206,""
PA11 3,Renfrewshire and Barrhead,PASS,206,""
G53 6,Renfrewshire and Barrhead,PASS,177,""
PA14 5,Renfrewshire and Barrhead,PASS,218,""
PA2 0,Renfrewshire and Barrhead,PASS,165,""
PA4 0,Renfrewshire and Barrhead,PASS,222,""
